# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 239K of event 'cycles:ppp'
# Event count (approx.): 226544822357
#
# Overhead  Command  Shared Object      Symbol                                           
# ........  .......  .................  .................................................
#
    11.47%  netperf  [kernel.kallsyms]  [k] syscall_return_via_sysret
     6.21%  netperf  [kernel.kallsyms]  [k] tcp_sendmsg_locked
     6.03%  netperf  [unknown]          [k] 0xfffffe000005e01b
     3.58%  netperf  [kernel.kallsyms]  [k] SYSC_sendto
     3.34%  netperf  [kernel.kallsyms]  [k] iov_iter_advance
     2.67%  netperf  [kernel.kallsyms]  [k] tcp_established_options
     2.47%  netperf  [unknown]          [k] 0xfffffe00000e201b
     2.44%  netperf  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     2.32%  netperf  [kernel.kallsyms]  [k] do_syscall_64
     2.00%  netperf  [kernel.kallsyms]  [k] __indirect_thunk_start
     1.93%  netperf  [kernel.kallsyms]  [k] __local_bh_enable_ip
     1.91%  netperf  [kernel.kallsyms]  [k] __check_object_size
     1.80%  netperf  [kernel.kallsyms]  [k] ipv4_mtu
     1.64%  netperf  [kernel.kallsyms]  [k] aa_label_sk_perm
     1.47%  netperf  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     1.41%  netperf  [kernel.kallsyms]  [k] tcp_current_mss
     1.40%  netperf  [kernel.kallsyms]  [k] tcp_send_mss
     1.37%  netperf  [kernel.kallsyms]  [k] import_single_range
     1.36%  netperf  [kernel.kallsyms]  [k] lock_sock_nested
     1.30%  netperf  [kernel.kallsyms]  [k] tcp_sendmsg
     1.30%  netperf  [kernel.kallsyms]  [k] sockfd_lookup_light
     1.29%  netperf  [kernel.kallsyms]  [k] security_socket_sendmsg
     1.27%  netperf  [kernel.kallsyms]  [k] release_sock
     1.23%  netperf  [kernel.kallsyms]  [k] sock_sendmsg
     1.22%  netperf  [unknown]          [k] 0xfffffe000005e01e
     1.21%  netperf  [kernel.kallsyms]  [k] _copy_from_iter_full
     1.14%  netperf  [kernel.kallsyms]  [k] __fget_light
     1.13%  netperf  [kernel.kallsyms]  [k] aa_sk_perm
     1.02%  netperf  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.97%  netperf  libc-2.23.so       [.] __libc_send
     0.96%  netperf  [kernel.kallsyms]  [k] entry_SYSCALL_64_stage2
     0.95%  netperf  [kernel.kallsyms]  [k] _raw_spin_lock_bh
     0.81%  netperf  [kernel.kallsyms]  [k] tcp_push
     0.76%  netperf  [kernel.kallsyms]  [k] inet_sendmsg
     0.75%  netperf  [kernel.kallsyms]  [k] _cond_resched
     0.71%  netperf  [kernel.kallsyms]  [k] __virt_addr_valid
     0.70%  netperf  [unknown]          [k] 0xfffffe000005e025
     0.67%  netperf  [kernel.kallsyms]  [k] tcp_write_xmit
     0.60%  netperf  [kernel.kallsyms]  [k] ixgbe_xmit_frame_ring
     0.58%  netperf  [kernel.kallsyms]  [k] sk_page_frag_refill
     0.58%  netperf  [kernel.kallsyms]  [k] _raw_spin_lock
     0.58%  netperf  netperf            [.] 0x00000000000156b6
     0.57%  netperf  [kernel.kallsyms]  [k] sys_sendto
     0.54%  netperf  [kernel.kallsyms]  [k] tcp_v4_md5_lookup
     0.52%  netperf  [unknown]          [k] 0xfffffe00000e201e
     0.50%  netperf  [kernel.kallsyms]  [k] tcp_tx_timestamp
     0.47%  netperf  [kernel.kallsyms]  [k] aa_sock_msg_perm
     0.44%  netperf  [kernel.kallsyms]  [k] skb_page_frag_refill
     0.40%  netperf  [kernel.kallsyms]  [k] tasklet_action
     0.40%  netperf  netperf            [.] 0x0000000000017292
     0.37%  netperf  [kernel.kallsyms]  [k] __fdget
     0.36%  netperf  [kernel.kallsyms]  [k] tcp_release_cb
     0.35%  netperf  [kernel.kallsyms]  [k] tcp_md5_do_lookup
     0.35%  netperf  [kernel.kallsyms]  [k] _raw_spin_unlock_bh
     0.35%  netperf  [unknown]          [k] 0xfffffe000005e00c
     0.33%  netperf  [kernel.kallsyms]  [k] ixgbe_poll
     0.31%  netperf  [kernel.kallsyms]  [k] tcp_rate_check_app_limited
     0.31%  netperf  netperf            [.] 0x00000000000172b6
     0.29%  netperf  netperf            [.] 0x0000000000016ca7
     0.28%  netperf  [kernel.kallsyms]  [k] rcu_all_qs
     0.28%  netperf  [kernel.kallsyms]  [k] apparmor_socket_sendmsg
     0.26%  netperf  netperf            [.] 0x0000000000016662
     0.26%  netperf  [unknown]          [k] 0xfffffe00000e2025
     0.26%  netperf  [kernel.kallsyms]  [k] check_stack_object
     0.25%  netperf  [kernel.kallsyms]  [k] tcp_transmit_skb
     0.25%  netperf  netperf            [.] 0x0000000000016778
     0.22%  netperf  [kernel.kallsyms]  [k] native_irq_return_iret
     0.22%  netperf  [kernel.kallsyms]  [k] copyin
     0.20%  netperf  netperf            [.] 0x0000000000005eb7
     0.19%  netperf  [kernel.kallsyms]  [k] __dev_queue_xmit
     0.19%  netperf  netperf            [.] 0x0000000000006085
     0.19%  netperf  [kernel.kallsyms]  [k] skb_release_data
     0.19%  netperf  [kernel.kallsyms]  [k] mod_timer
     0.18%  netperf  netperf            [.] 0x00000000000156be
     0.17%  netperf  [kernel.kallsyms]  [k] ip_queue_xmit
     0.17%  netperf  netperf            [.] 0x000000000001729e
     0.16%  netperf  [kernel.kallsyms]  [k] ip_finish_output2
     0.16%  netperf  netperf            [.] 0x0000000000005ea4
     0.16%  netperf  [kernel.kallsyms]  [k] tcp_wfree
     0.15%  netperf  [kernel.kallsyms]  [k] tcp_clean_rtx_queue
     0.15%  netperf  netperf            [.] 0x0000000000016648
     0.14%  netperf  netperf            [.] 0x00000000000167aa
     0.14%  netperf  netperf            [.] 0x00000000000164d9
     0.13%  netperf  [kernel.kallsyms]  [k] __netdev_pick_tx
     0.13%  netperf  [kernel.kallsyms]  [k] ixgbe_clean_rx_irq
     0.13%  netperf  [unknown]          [k] 0xfffffe00000e200c
     0.13%  netperf  [kernel.kallsyms]  [k] __alloc_skb
     0.12%  netperf  netperf            [.] 0x0000000000016c8d
     0.12%  netperf  [kernel.kallsyms]  [k] tcp_tso_segs
     0.12%  netperf  netperf            [.] 0x0000000000017277
     0.12%  netperf  netperf            [.] 0x00000000000172b1
     0.12%  netperf  [kernel.kallsyms]  [k] __softirqentry_text_start
     0.12%  netperf  [kernel.kallsyms]  [k] skb_split
     0.12%  netperf  [unknown]          [k] 0xfffffe000005e04a
     0.12%  netperf  netperf            [.] 0x0000000000017299
     0.11%  netperf  [kernel.kallsyms]  [k] tcp_tasklet_func
     0.11%  netperf  [kernel.kallsyms]  [k] swiotlb_map_page
     0.11%  netperf  netperf            [.] 0x00000000000156ba
     0.11%  netperf  [unknown]          [k] 0xfffffe000005e03a
     0.10%  netperf  netperf            [.] 0x0000000000016453
     0.10%  netperf  [kernel.kallsyms]  [k] net_rx_action
     0.10%  netperf  netperf            [.] 0x0000000000001ef0
     0.10%  netperf  netperf            [.] 0x0000000000016c80
     0.09%  netperf  [kernel.kallsyms]  [k] native_sched_clock
     0.09%  netperf  netperf            [.] 0x0000000000016c87
     0.09%  netperf  netperf            [.] 0x00000000000155c4
     0.09%  netperf  netperf            [.] 0x00000000000166b9
     0.08%  netperf  netperf            [.] 0x00000000000155ca
     0.08%  netperf  [kernel.kallsyms]  [k] tcp_ack
     0.08%  netperf  [kernel.kallsyms]  [k] detach_if_pending
     0.08%  netperf  [kernel.kallsyms]  [k] tcp_init_tso_segs
     0.08%  netperf  [kernel.kallsyms]  [k] skb_release_head_state
     0.08%  netperf  [kernel.kallsyms]  [k] common_interrupt
     0.08%  netperf  netperf            [.] 0x00000000000156a0
     0.08%  netperf  [kernel.kallsyms]  [k] kfree
     0.08%  netperf  [kernel.kallsyms]  [k] ipv4_dst_check
     0.07%  netperf  netperf            [.] 0x0000000000016476
     0.07%  netperf  netperf            [.] 0x00000000000166bc
     0.07%  netperf  netperf            [.] 0x00000000000155b2
     0.07%  netperf  [kernel.kallsyms]  [k] __tcp_v4_send_check
     0.07%  netperf  [kernel.kallsyms]  [k] dev_hard_start_xmit
     0.07%  netperf  [kernel.kallsyms]  [k] sk_stream_alloc_skb
     0.07%  netperf  [kernel.kallsyms]  [k] apic_ack_edge
     0.07%  netperf  [kernel.kallsyms]  [k] sock_zerocopy_put
     0.07%  netperf  [kernel.kallsyms]  [k] validate_xmit_skb
     0.07%  netperf  [kernel.kallsyms]  [k] sch_direct_xmit
     0.07%  netperf  [kernel.kallsyms]  [k] ip_rcv
     0.07%  netperf  [kernel.kallsyms]  [k] __release_sock
     0.06%  netperf  netperf            [.] 0x00000000000155bc
     0.06%  netperf  [unknown]          [k] 0xfffffe000005e031
     0.06%  netperf  [kernel.kallsyms]  [k] __kmalloc_node_track_caller
     0.06%  netperf  [kernel.kallsyms]  [k] ip_send_check
     0.06%  netperf  [kernel.kallsyms]  [k] tcp_v4_rcv
     0.06%  netperf  [kernel.kallsyms]  [k] tcp_schedule_loss_probe
     0.06%  netperf  [unknown]          [k] 0xfffffe00000e204a
     0.06%  netperf  [kernel.kallsyms]  [k] tcp_rcv_established
     0.06%  netperf  [kernel.kallsyms]  [k] kmem_cache_free
     0.06%  netperf  netperf            [.] 0x00000000000156b0
     0.06%  netperf  [kernel.kallsyms]  [k] __sk_dst_check
     0.06%  netperf  [kernel.kallsyms]  [k] netif_skb_features
     0.06%  netperf  [kernel.kallsyms]  [k] inet_gro_receive
     0.06%  netperf  [kernel.kallsyms]  [k] lock_timer_base
     0.06%  netperf  [kernel.kallsyms]  [k] kmem_cache_alloc_node
     0.06%  netperf  [unknown]          [k] 0xfffffe000005e014
     0.06%  netperf  [unknown]          [k] 0xfffffe00000e203a
     0.06%  netperf  [kernel.kallsyms]  [k] swapgs_restore_regs_and_return_to_usermode
     0.06%  netperf  [kernel.kallsyms]  [k] ksize
     0.05%  netperf  [kernel.kallsyms]  [k] rb_first
     0.05%  netperf  [kernel.kallsyms]  [k] __tasklet_schedule
     0.05%  netperf  [kernel.kallsyms]  [k] ixgbe_select_queue
     0.05%  netperf  netperf            [.] 0x0000000000016449
     0.05%  netperf  [kernel.kallsyms]  [k] switch_to_thread_stack
     0.05%  netperf  [kernel.kallsyms]  [k] __ip_local_out
     0.05%  netperf  [kernel.kallsyms]  [k] __netif_receive_skb_core
     0.05%  netperf  [kernel.kallsyms]  [k] handle_edge_irq
     0.05%  netperf  [kernel.kallsyms]  [k] dql_completed
     0.05%  netperf  [unknown]          [k] 0xfffffe000005e000
     0.05%  netperf  netperf            [.] 0x000000000001656a
     0.05%  netperf  [kernel.kallsyms]  [k] ip_output
     0.05%  netperf  [kernel.kallsyms]  [k] add_interrupt_randomness
     0.05%  netperf  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.05%  netperf  [kernel.kallsyms]  [k] ixgbe_update_itr.isra.66
     0.05%  netperf  netperf            [.] 0x00000000000155d8
     0.05%  netperf  [kernel.kallsyms]  [k] __handle_irq_event_percpu
     0.05%  netperf  [kernel.kallsyms]  [k] __skb_clone
     0.05%  netperf  [kernel.kallsyms]  [k] ip_finish_output
     0.05%  netperf  [kernel.kallsyms]  [k] __usecs_to_jiffies
     0.05%  netperf  [kernel.kallsyms]  [k] tcp_rbtree_insert
     0.04%  netperf  netperf            [.] 0x0000000000016668
     0.04%  netperf  [kernel.kallsyms]  [k] __kmalloc_reserve.isra.43
     0.04%  netperf  [kernel.kallsyms]  [k] swiotlb_dma_mapping_error
     0.04%  netperf  [kernel.kallsyms]  [k] irq_chip_ack_parent
     0.04%  netperf  netperf            [.] 0x00000000000156b7
     0.04%  netperf  [kernel.kallsyms]  [k] ip_rcv_finish
     0.04%  netperf  [kernel.kallsyms]  [k] rb_insert_color
     0.04%  netperf  [kernel.kallsyms]  [k] skb_release_all
     0.04%  netperf  [kernel.kallsyms]  [k] skb_push
     0.04%  netperf  [kernel.kallsyms]  [k] netdev_pick_tx
     0.04%  netperf  netperf            [.] 0x000000000001663e
     0.04%  netperf  [kernel.kallsyms]  [k] validate_xmit_skb_list
     0.04%  netperf  [kernel.kallsyms]  [k] native_apic_mem_write
     0.04%  netperf  [kernel.kallsyms]  [k] tcp_rearm_rto.part.61
     0.04%  netperf  [kernel.kallsyms]  [k] __inet_lookup_established
     0.04%  netperf  netperf            [.] 0x00000000000156a5
     0.04%  netperf  [unknown]          [k] 0xfffffe000005e027
