# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 108K of event 'cycles:ppp'
# Event count (approx.): 3637733565
#
# Overhead  Command    Shared Object      Symbol                                           
# ........  .........  .................  .................................................
#
    25.94%  netserver  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     7.14%  netserver  [kernel.kallsyms]  [k] copy_page_to_iter
     5.12%  netserver  [kernel.kallsyms]  [k] skb_copy_datagram_iter
     2.85%  netserver  [kernel.kallsyms]  [k] tcp_recvmsg
     1.75%  netserver  [kernel.kallsyms]  [k] skb_release_data
     1.68%  netserver  [kernel.kallsyms]  [k] __perf_event_task_sched_in
     1.67%  netserver  [kernel.kallsyms]  [k] ixgbe_xmit_frame_ring
     1.40%  netserver  [kernel.kallsyms]  [k] __virt_addr_valid
     1.29%  netserver  [kernel.kallsyms]  [k] pick_next_task_fair
     1.27%  netserver  [kernel.kallsyms]  [k] __schedule
     1.26%  netserver  [kernel.kallsyms]  [k] syscall_return_via_sysret
     1.24%  netserver  [kernel.kallsyms]  [k] _raw_spin_lock
     1.15%  netserver  [kernel.kallsyms]  [k] tcp_transmit_skb
     1.15%  netserver  [kernel.kallsyms]  [k] _copy_to_iter
     1.14%  netserver  [kernel.kallsyms]  [k] native_write_msr
     1.12%  netserver  [kernel.kallsyms]  [k] wait_woken
     1.06%  netserver  [kernel.kallsyms]  [k] update_curr
     1.04%  netserver  [kernel.kallsyms]  [k] ip_queue_xmit
     1.00%  netserver  [kernel.kallsyms]  [k] update_cfs_group
     0.80%  netserver  [kernel.kallsyms]  [k] schedule_timeout
     0.79%  netserver  [kernel.kallsyms]  [k] SYSC_recvfrom
     0.77%  netserver  [kernel.kallsyms]  [k] native_sched_clock
     0.74%  netserver  [kernel.kallsyms]  [k] __local_bh_enable_ip
     0.73%  netserver  [unknown]          [k] 0xfffffe000005e01b
     0.73%  netserver  [kernel.kallsyms]  [k] check_stack_object
     0.71%  netserver  [kernel.kallsyms]  [k] dequeue_entity
     0.71%  netserver  [kernel.kallsyms]  [k] update_load_avg
     0.69%  netserver  [kernel.kallsyms]  [k] _raw_spin_lock_bh
     0.68%  netserver  [kernel.kallsyms]  [k] put_prev_entity
     0.67%  netserver  [kernel.kallsyms]  [k] __lock_text_start
     0.66%  netserver  [kernel.kallsyms]  [k] finish_task_switch
     0.66%  netserver  [kernel.kallsyms]  [k] ip_finish_output2
     0.65%  netserver  [kernel.kallsyms]  [k] _cond_resched
     0.64%  netserver  [kernel.kallsyms]  [k] __netdev_pick_tx
     0.62%  netserver  [kernel.kallsyms]  [k] __indirect_thunk_start
     0.62%  netserver  [kernel.kallsyms]  [k] copyout
     0.57%  netserver  [kernel.kallsyms]  [k] sk_wait_data
     0.56%  netserver  [kernel.kallsyms]  [k] __update_load_avg_se.isra.38
     0.56%  netserver  netserver          [.] 0x0000000000017000
     0.55%  netserver  [kernel.kallsyms]  [k] ctx_sched_out
     0.54%  netserver  libc-2.23.so       [.] __libc_recv
     0.53%  netserver  [kernel.kallsyms]  [k] do_syscall_64
     0.53%  netserver  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.51%  netserver  [kernel.kallsyms]  [k] __kmalloc_node_track_caller
     0.48%  netserver  [kernel.kallsyms]  [k] __dev_queue_xmit
     0.48%  netserver  [kernel.kallsyms]  [k] reweight_entity
     0.47%  netserver  [kernel.kallsyms]  [k] ixgbe_select_queue
     0.46%  netserver  [kernel.kallsyms]  [k] aa_label_sk_perm
