# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 82K of event 'cycles:ppp'
# Event count (approx.): 2850400312
#
# Overhead  Command    Shared Object      Symbol                              
# ........  .........  .................  ....................................
#
    31.53%  netserver  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     6.36%  netserver  [kernel.kallsyms]  [k] copy_page_to_iter
     4.24%  netserver  [kernel.kallsyms]  [k] skb_copy_datagram_iter
     2.78%  netserver  [kernel.kallsyms]  [k] e1000_xmit_frame
     2.22%  netserver  [kernel.kallsyms]  [k] tcp_recvmsg
     1.64%  netserver  [kernel.kallsyms]  [k] skb_release_data
     1.42%  netserver  [kernel.kallsyms]  [k] _raw_spin_lock
     1.21%  netserver  [kernel.kallsyms]  [k] syscall_return_via_sysret
     1.13%  netserver  [kernel.kallsyms]  [k] __free_pages_ok
     1.06%  netserver  libc-2.23.so       [.] __libc_recv
     1.05%  netserver  [kernel.kallsyms]  [k] __virt_addr_valid
     1.04%  netserver  [kernel.kallsyms]  [k] ip_finish_output2
     1.02%  netserver  [kernel.kallsyms]  [k] tcp_transmit_skb
     1.00%  netserver  [kernel.kallsyms]  [k] _copy_to_iter
     0.96%  netserver  [kernel.kallsyms]  [k] ip_queue_xmit
     0.83%  netserver  [kernel.kallsyms]  [k] __fget_light
     0.82%  netserver  [kernel.kallsyms]  [k] __schedule
     0.81%  netserver  [kernel.kallsyms]  [k] native_write_msr
     0.75%  netserver  [kernel.kallsyms]  [k] __perf_event_task_sched_in
     0.73%  netserver  [kernel.kallsyms]  [k] packet_rcv
     0.72%  netserver  [kernel.kallsyms]  [k] __dev_queue_xmit
     0.71%  netserver  [kernel.kallsyms]  [k] update_curr
     0.70%  netserver  [kernel.kallsyms]  [k] wait_woken
     0.69%  netserver  [kernel.kallsyms]  [k] __indirect_thunk_start
     0.64%  netserver  [kernel.kallsyms]  [k] pick_next_task_fair
     0.62%  netserver  [kernel.kallsyms]  [k] cleanup_module
     0.61%  netserver  [kernel.kallsyms]  [k] kmem_cache_free
     0.59%  netserver  [kernel.kallsyms]  [k] copyout
     0.59%  netserver  [kernel.kallsyms]  [k] SYSC_recvfrom
     0.58%  netserver  [kernel.kallsyms]  [k] native_sched_clock
     0.58%  netserver  [kernel.kallsyms]  [k] __kmalloc_node_track_caller
     0.57%  netserver  [unknown]          [k] 0xfffffe00001ea01b
     0.57%  netserver  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.57%  netserver  [kernel.kallsyms]  [k] __local_bh_enable_ip
     0.57%  netserver  [kernel.kallsyms]  [k] cpuacct_charge
     0.56%  netserver  [kernel.kallsyms]  [k] schedule_timeout
     0.55%  netserver  netserver          [.] 0x0000000000017000
     0.53%  netserver  [kernel.kallsyms]  [k] dev_queue_xmit_nit
     0.49%  netserver  [kernel.kallsyms]  [k] skb_release_head_state
     0.48%  netserver  [kernel.kallsyms]  [k] _raw_spin_lock_bh
     0.47%  netserver  [kernel.kallsyms]  [k] check_stack_object
